Q18152976 P159 Q65
Q5117116 P17 Q29
Q5117116 P131 Q1614683
Q5758579 P17 Q792
Q5758579 P131 Q672458
Q2417523 P131 Q54440
Q2417523 P17 Q30
Q1624636 P17 Q40
Q1624636 P131 Q489972
Q332681 P27 Q204920
Q1552151 P131 Q585
Q1552151 P17 Q20
Q80550 P36 Q83061
Q80550 P17 Q43
Q2671405 P17 Q230
Q153511 P17 Q717
Q153511 P131 Q2309997
Q28402718 P159 Q1784180
Q4825205 P17 Q43
Q4825205 P131 Q1004454
Q4825205 P421 Q6760
Q1102177 P131 Q1270623
Q1102177 P131 Q12626
Q1102177 P17 Q142
Q1102177 P131 Q940019
Q274740 P421 Q6723
Q274740 P421 Q6655
Q274740 P131 Q1725784
Q274740 P17 Q142
Q6861999 P17 Q43
Q6861999 P131 Q43387
Q18638051 P27 Q408
Q100788 P421 Q6723
Q100788 P421 Q6655
Q5277416 P131 Q185114
Q5277416 P17 Q219
Q7178226 P131 Q965020
Q7178226 P17 Q408
Q7672940 P17 Q794
Q7359407 P131 Q2327665
Q7359407 P421 Q6655
Q7359407 P421 Q6723
Q7359407 P17 Q36
Q656420 P131 Q110574
Q656420 P131 Q3093
Q400153 P159 Q658861
Q400153 P17 Q36
Q5857866 P131 Q5747278
Q6911337 P27 Q760
Q4985283 P131 Q2327665
Q4985283 P421 Q6723
Q4985283 P421 Q6655
Q1765868 P159 Q585
Q22092259 P131 Q1060628
Q15103238 P27 Q224
Q15103238 P27 Q236
Q3452417 P131 Q1124743
Q3452417 P17 Q30
Q608377 P159 Q990504
Q1431040 P131 Q2916
Q1431040 P421 Q6723
Q1431040 P17 Q183
Q1431040 P421 Q6655
Q20988467 P131 Q206903
Q20988467 P17 Q43
Q142 P421 Q6723
Q142 P421 Q25989
Q142 P421 Q6655
Q142 P421 Q5762
Q142 P17 Q142
Q142 P421 Q6760
Q142 P421 Q207020
Q142 P30 Q46
Q142 P30 Q828
Q999248 P17 Q214
Q999248 P131 Q837897
Q2736054 P17 Q30
Q2736054 P131 Q497172
Q1834828 P131 Q81033
Q1834828 P17 Q96
Q156042 P421 Q6985
Q156042 P17 Q928
Q156042 P131 Q13887
Q11690171 P17 Q298
Q735562 P159 Q81033
Q735562 P17 Q96
Q1651220 P131 Q54955
Q1651220 P17 Q29
Q1651220 P421 Q6655
Q155288 P131 Q13893
Q155288 P17 Q928
Q132391 P131 Q13900
Q132391 P17 Q928
Q132391 P421 Q6985
Q131954 P17 Q928
Q131954 P421 Q6985
Q131954 P131 Q13902
Q5208174 P17 Q884
Q5208174 P131 Q16520
Q4825335 P17 Q43
Q4825335 P421 Q6760
Q4825335 P131 Q1004613
Q1158252 P17 Q4948
Q784 P421 Q5762
Q784 P30 Q49
Q784 P17 Q784
Q23067 P17 Q29
Q23067 P421 Q6655
Q23067 P131 Q122158
Q5837087 P17 Q794
Q597 P17 Q45
Q6539464 P131 Q1014299
Q6539464 P421 Q6760
Q6539464 P17 Q43
Q6465704 P17 Q760
Q1348947 P131 Q7861
Q1348947 P17 Q183
Q1348947 P131 Q6022
Q1348947 P131 Q6228
Q604539 P421 Q6655
Q604539 P131 Q2247626
Q604539 P17 Q29
Q1525048 P131 Q221457
Q6967106 P131 Q587090
Q6967106 P17 Q794
Q475470 P131 Q1319477
Q11978085 P27 Q20
Q5864129 P17 Q794
Q5864129 P131 Q5747278
Q3867623 P131 Q628
Q3867623 P17 Q38
Q593632 P17 Q29
Q15813240 P17 Q804
Q7841224 P159 Q74195
Q7841224 P17 Q30
Q14683542 P131 Q99
Q14683542 P17 Q30
Q842564 P421 Q6723
Q842564 P17 Q142
Q842564 P421 Q6655
Q842564 P131 Q3093
Q842564 P131 Q925372
Q38872 P36 Q64
Q38872 P30 Q46
